Cell	nCount_Spatial	nFeature_Spatial	percent.mito	seurat_clusters	celltype	Cluster
67430986561200	7300	2381	6.972603	0	VZ+IZ	0
67001489833900	13594	3736	3.810505	7	RL	7
60559038884800	8622	2489	8.663883	3	iEGL	3
67001489833000	7804	2494	8.751922	1	VZ+IZ	1
69148973478300	8571	2590	6.942014	0	VZ+IZ	0
73443940771800	13990	3418	7.22659	2	oEGL	2
73443940775400	6534	2101	9.779614	1	VZ+IZ	1
78168404799300	7903	2467	6.263444	10	Chroid plexus	10
54546084672800	10278	2543	9.739249	2	oEGL	2
61847529076300	7233	2318	7.00954	1	VZ+IZ	1
75591424420200	21636	4365	5.994639	2	oEGL	2
60988535615600	8176	2529	7.705479	1	VZ+IZ	1
77309411339100	4257	1494	6.319004	4	Chroid plexus	4
52828097755200	6472	1810	12.129172	3	iEGL	3
65283502915500	13503	3402	5.443235	7	RL	7
76879914609900	14177	3658	5.840446	9	oEGL	9
63136019263100	8134	2469	7.819031	0	VZ+IZ	0
60559038887200	8030	2513	7.447073	0	VZ+IZ	0
62277025803000	8891	2532	8.469239	0	VZ+IZ	0
68289980022400	12487	3322	5.069272	7	RL	7
67860483287500	9319	2640	10.054727	0	VZ+IZ	0
65283502911800	8487	2597	7.623424	1	VZ+IZ	1
59700045427700	8887	2775	6.830201	1	VZ+IZ	1
67430986561800	6950	2230	7.798561	1	VZ+IZ	1
65712999641100	8034	2455	9.0117	1	VZ+IZ	1
60988535614300	8759	2435	8.848042	1	VZ+IZ	1
60559038888900	7790	2510	7.291399	0	VZ+IZ	0
67001489830400	8534	2430	7.686899	1	VZ+IZ	1
72155450582800	22639	4326	6.047087	2	oEGL	2
52828097756100	12654	3094	6.069227	2	oEGL	2
69578470209900	8237	2666	6.616487	5	VZ+IZ	5
69148973477800	8626	2649	6.039879	1	VZ+IZ	1
57982058508600	8643	2504	10.019669	1	VZ+IZ	1
71725953857200	7815	2585	6.935381	0	VZ+IZ	0
70866960399600	8488	2701	5.360509	7	RL	7
70866960395700	8163	2558	6.406958	0	VZ+IZ	0
76020921149900	15374	3936	5.392221	9	oEGL	9
65283502912600	7553	2297	7.440752	1	VZ+IZ	1
65283502912800	6579	2019	8.481532	1	VZ+IZ	1
65283502913500	7783	2453	7.863292	1	VZ+IZ	1
74302934233000	8680	2692	7.995392	0	VZ+IZ	0
74732430962300	9106	2747	6.76477	0	VZ+IZ	0
73014444043800	10364	3038	7.554998	0	VZ+IZ	0
64854006183100	7422	2243	8.272703	6	Vessels	6
77309411339600	11894	3279	5.389272	9	oEGL	9
77309411339900	13026	3618	5.028405	9	oEGL	9
64854006180000	9171	2674	7.12027	1	VZ+IZ	1
64424509452400	7309	2455	7.14188	0	VZ+IZ	0
63995012721800	8586	2660	7.663638	0	VZ+IZ	0
63995012720700	10330	2735	7.647628	2	oEGL	2
50680614106700	6735	2061	6.978471	2	oEGL	2
72155450582600	8050	2359	6.248447	4	Chroid plexus	4
69148973480200	7870	2540	7.013977	0	VZ+IZ	0
69578470205400	9711	2692	9.061889	3	iEGL	3
68719476748100	8441	2494	6.752754	1	VZ+IZ	1
68719476747900	8522	2603	6.817648	6	Vessels	6
68289980021700	7373	2360	9.521226	3	iEGL	3
67860483289400	7919	2491	6.781159	0	VZ+IZ	0
70437463665800	8788	2630	6.964042	0	VZ+IZ	0
